drug_name,text,label
Atorvastatin,Atorvastatin caused blurred vision after use,ADR
Atorvastatin,Atorvastatin caused insomnia after use,ADR
Amoxicillin,Amoxicillin caused ulcers after use,ADR
Amoxicillin,Amoxicillin lowered my cholesterol levels,NON-ADR
Metformin,Metformin eased my back pain,NON-ADR
Prednisone,Prednisone improved my mood and focus,NON-ADR
Penicillin,Penicillin caused ulcers after use,ADR
Metformin,Metformin caused bleeding after use,ADR
Omeprazole,Omeprazole controlled my blood sugar well,NON-ADR
Amoxicillin,Amoxicillin eased my back pain,NON-ADR
Aspirin,Aspirin caused palpitations after use,ADR
Prednisone,Prednisone relieved my acidity issues,NON-ADR
Penicillin,Penicillin helped with chest pain relief,NON-ADR
Prednisone,Prednisone improved my mood and focus,NON-ADR
Sertraline,Sertraline caused anxiety after use,ADR
Sertraline,Sertraline reduced my inflammation,NON-ADR
Metformin,Metformin cleared my throat infection,NON-ADR
Amoxicillin,Amoxicillin eased my back pain,NON-ADR
Prednisone,Prednisone caused anxiety after use,ADR
Amoxicillin,Amoxicillin caused dry mouth after use,ADR
Aspirin,Aspirin cleared my throat infection,NON-ADR
Amoxicillin,Amoxicillin caused ulcers after use,ADR
Amoxicillin,Amoxicillin helped reduce fever,NON-ADR
Atorvastatin,Atorvastatin caused insomnia after use,ADR
Penicillin,Penicillin helped with chest pain relief,NON-ADR
Diclofenac,Diclofenac caused nausea after use,ADR
Prednisone,Prednisone caused itching after use,ADR
Cetirizine,Cetirizine helped with chest pain relief,NON-ADR
Aspirin,Aspirin caused hives after use,ADR
Diclofenac,Diclofenac lowered my cholesterol levels,NON-ADR
Atorvastatin,Atorvastatin caused fever after use,ADR
Cetirizine,Cetirizine caused swelling after use,ADR
Sertraline,Sertraline lowered my cholesterol levels,NON-ADR
Omeprazole,Omeprazole controlled my blood sugar well,NON-ADR
Omeprazole,Omeprazole lowered my cholesterol levels,NON-ADR
Sertraline,Sertraline caused anxiety after use,ADR
Omeprazole,Omeprazole worked perfectly for my headache,NON-ADR
Prednisone,Prednisone lowered my cholesterol levels,NON-ADR
Paracetamol,Paracetamol helped with chest pain relief,NON-ADR
Cetirizine,Cetirizine caused hives after use,ADR
Aspirin,Aspirin caused fever after use,ADR
Diclofenac,Diclofenac caused dry mouth after use,ADR
Cetirizine,Cetirizine caused hives after use,ADR
Cetirizine,Cetirizine worked perfectly for my headache,NON-ADR
Omeprazole,Omeprazole worked perfectly for my headache,NON-ADR
Sertraline,Sertraline caused vomiting after use,ADR
Aspirin,Aspirin helped with chest pain relief,NON-ADR
Prednisone,Prednisone caused bleeding after use,ADR
Amoxicillin,Amoxicillin lowered my cholesterol levels,NON-ADR
Metformin,Metformin helped with chest pain relief,NON-ADR
Diclofenac,Diclofenac caused fatigue after use,ADR
Cetirizine,Cetirizine caused weight gain after use,ADR
